# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: UWASH
# STATION NAME: UNIVERSITY OF WASHINGTON
# LATITUDE: 47.65
# LONGITUDE: -122.31
# ELEVATION [ft]: 190
# STATE: WA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1
,,Fahrenheit,%,knots
UWASH,2022-11-01T12:55:00Z,44.0,,0.0
UWASH,2022-11-01T13:55:00Z,43.0,,1.0
UWASH,2022-11-01T14:55:00Z,44.0,,0.0
UWASH,2022-11-01T15:55:00Z,44.0,,2.0
UWASH,2022-11-01T16:55:00Z,47.0,,0.0
UWASH,2022-11-01T17:55:00Z,49.0,,0.0
UWASH,2022-11-01T18:55:00Z,50.0,,0.0
UWASH,2022-11-01T19:55:00Z,51.0,,1.0
UWASH,2022-11-01T20:55:00Z,50.0,,1.0
UWASH,2022-11-01T21:55:00Z,51.0,,0.0
UWASH,2022-11-01T22:55:00Z,56.0,,3.0
UWASH,2022-11-01T23:55:00Z,51.0,,0.0
UWASH,2022-11-02T00:55:00Z,48.0,,0.0
UWASH,2022-11-02T01:55:00Z,45.0,,0.0
UWASH,2022-11-02T02:55:00Z,42.0,,1.0
UWASH,2022-11-02T03:55:00Z,42.0,,1.0
UWASH,2022-11-02T04:55:00Z,42.0,,0.0
UWASH,2022-11-02T05:55:00Z,43.0,,0.0
UWASH,2022-11-02T06:55:00Z,44.0,,0.0
UWASH,2022-11-02T07:55:00Z,44.0,,2.0
UWASH,2022-11-02T08:55:00Z,42.0,,1.0
UWASH,2022-11-02T09:55:00Z,42.0,,1.0
UWASH,2022-11-02T10:55:00Z,42.0,,2.0
UWASH,2022-11-02T11:55:00Z,42.0,,1.0
UWASH,2022-11-02T12:55:00Z,42.0,,2.0
UWASH,2022-11-02T13:55:00Z,41.0,,1.0
UWASH,2022-11-02T14:55:00Z,40.0,,0.0
UWASH,2022-11-02T15:55:00Z,42.0,,1.0
UWASH,2022-11-02T16:55:00Z,43.0,,0.0
UWASH,2022-11-02T17:55:00Z,44.0,,1.0
UWASH,2022-11-02T18:55:00Z,46.0,,2.0
UWASH,2022-11-02T19:55:00Z,46.0,,1.0
UWASH,2022-11-02T20:55:00Z,46.0,,0.0
UWASH,2022-11-02T21:55:00Z,50.0,,1.0
UWASH,2022-11-02T22:55:00Z,48.0,,4.0
UWASH,2022-11-02T23:55:00Z,46.0,,2.0
UWASH,2022-11-03T00:55:00Z,43.0,,0.0
UWASH,2022-11-03T01:55:00Z,40.0,,0.0
UWASH,2022-11-03T02:55:00Z,39.0,,1.0
UWASH,2022-11-03T03:55:00Z,39.0,,2.0
UWASH,2022-11-03T04:55:00Z,38.0,,0.0
UWASH,2022-11-03T05:55:00Z,38.0,,2.0
UWASH,2022-11-03T06:55:00Z,38.0,,0.0
UWASH,2022-11-03T07:55:00Z,37.0,,0.0
UWASH,2022-11-03T08:55:00Z,38.0,,0.0
UWASH,2022-11-03T09:55:00Z,39.0,,0.0
UWASH,2022-11-03T10:55:00Z,41.0,,0.0
UWASH,2022-11-03T11:55:00Z,40.0,,0.0
UWASH,2022-11-03T12:55:00Z,39.0,,1.0
UWASH,2022-11-03T13:55:00Z,39.0,,1.0
UWASH,2022-11-03T14:55:00Z,40.0,,0.0
UWASH,2022-11-03T15:55:00Z,41.0,,1.0
UWASH,2022-11-03T16:55:00Z,43.0,,0.0
UWASH,2022-11-03T17:55:00Z,44.0,,1.0
UWASH,2022-11-03T18:55:00Z,45.0,,0.0
UWASH,2022-11-03T19:55:00Z,44.0,,2.0
UWASH,2022-11-03T20:55:00Z,45.0,,1.0
UWASH,2022-11-03T21:55:00Z,44.0,,1.0
UWASH,2022-11-03T22:55:00Z,43.0,,4.0
UWASH,2022-11-03T23:55:00Z,43.0,,7.0
UWASH,2022-11-04T00:55:00Z,43.0,,3.0
UWASH,2022-11-04T01:55:00Z,43.0,,2.0
UWASH,2022-11-04T02:55:00Z,43.0,,3.0
UWASH,2022-11-04T03:55:00Z,43.0,,2.0
UWASH,2022-11-04T04:55:00Z,43.0,,1.0
UWASH,2022-11-04T05:55:00Z,43.0,,1.0
UWASH,2022-11-04T06:55:00Z,44.0,,3.0
UWASH,2022-11-04T07:55:00Z,44.0,,2.0
UWASH,2022-11-04T08:55:00Z,44.0,,1.0
UWASH,2022-11-04T09:55:00Z,45.0,,1.0
UWASH,2022-11-04T10:55:00Z,45.0,,1.0
UWASH,2022-11-04T11:55:00Z,46.0,,3.0
UWASH,2022-11-04T12:55:00Z,48.0,,1.0
UWASH,2022-11-04T13:55:00Z,50.0,,2.0
UWASH,2022-11-04T14:55:00Z,52.0,,3.0
UWASH,2022-11-04T15:55:00Z,54.0,,3.0
UWASH,2022-11-04T16:55:00Z,55.0,,2.0
UWASH,2022-11-04T17:55:00Z,57.0,,3.0
UWASH,2022-11-04T18:55:00Z,58.0,,3.0
UWASH,2022-11-04T19:55:00Z,58.0,,2.0
UWASH,2022-11-04T20:55:00Z,59.0,,5.0
UWASH,2022-11-04T21:55:00Z,59.0,,3.0
UWASH,2022-11-04T22:55:00Z,59.0,,3.0
UWASH,2022-11-04T23:55:00Z,59.0,,5.0
UWASH,2022-11-05T00:55:00Z,59.0,,5.0
UWASH,2022-11-05T01:55:00Z,59.0,,5.0
UWASH,2022-11-05T02:55:00Z,59.0,,2.0
UWASH,2022-11-05T03:55:00Z,58.0,,1.0
UWASH,2022-11-05T04:55:00Z,58.0,,2.0
UWASH,2022-11-05T05:55:00Z,52.0,,7.0
UWASH,2022-11-05T06:55:00Z,51.0,,4.0
UWASH,2022-11-05T07:55:00Z,50.0,,1.0
UWASH,2022-11-05T08:55:00Z,47.0,,2.0
UWASH,2022-11-05T09:55:00Z,48.0,,2.0
UWASH,2022-11-05T10:55:00Z,46.0,,2.0
UWASH,2022-11-05T11:55:00Z,41.0,,0.0
UWASH,2022-11-05T12:55:00Z,41.0,,1.0
UWASH,2022-11-05T13:55:00Z,43.0,,1.0
UWASH,2022-11-05T14:55:00Z,43.0,,0.0
UWASH,2022-11-05T15:55:00Z,42.0,,1.0
UWASH,2022-11-05T16:55:00Z,49.0,,1.0
UWASH,2022-11-05T17:55:00Z,47.0,,1.0
UWASH,2022-11-05T18:55:00Z,50.0,,1.0
UWASH,2022-11-05T19:55:00Z,51.0,,1.0
UWASH,2022-11-05T20:55:00Z,51.0,,0.0
UWASH,2022-11-05T21:55:00Z,52.0,,3.0
UWASH,2022-11-05T22:55:00Z,55.0,,1.0
UWASH,2022-11-05T23:55:00Z,51.0,,4.0
UWASH,2022-11-06T00:55:00Z,46.0,,0.0
UWASH,2022-11-06T01:55:00Z,45.0,,0.0
UWASH,2022-11-06T02:55:00Z,44.0,,1.0
UWASH,2022-11-06T03:55:00Z,44.0,,2.0
UWASH,2022-11-06T04:55:00Z,44.0,,1.0
UWASH,2022-11-06T05:55:00Z,44.0,,1.0
UWASH,2022-11-06T06:55:00Z,44.0,,2.0
UWASH,2022-11-06T07:55:00Z,45.0,,6.0
UWASH,2022-11-06T08:55:00Z,43.0,,7.0
UWASH,2022-11-06T09:55:00Z,42.0,,1.0
UWASH,2022-11-06T10:55:00Z,43.0,,6.0
UWASH,2022-11-06T11:55:00Z,44.0,,1.0
UWASH,2022-11-06T12:55:00Z,43.0,,4.0
UWASH,2022-11-06T13:55:00Z,43.0,,4.0
UWASH,2022-11-06T14:55:00Z,42.0,,1.0
UWASH,2022-11-06T15:55:00Z,42.0,,2.0
UWASH,2022-11-06T16:55:00Z,42.0,,2.0
UWASH,2022-11-06T17:55:00Z,42.0,,2.0
UWASH,2022-11-06T18:55:00Z,44.0,,1.0
UWASH,2022-11-06T19:55:00Z,45.0,,1.0
UWASH,2022-11-06T20:55:00Z,46.0,,1.0
UWASH,2022-11-06T21:55:00Z,47.0,,3.0
UWASH,2022-11-06T22:55:00Z,46.0,,1.0
UWASH,2022-11-06T23:55:00Z,44.0,,0.0
UWASH,2022-11-07T00:55:00Z,43.0,,0.0
UWASH,2022-11-07T01:55:00Z,43.0,,1.0
UWASH,2022-11-07T02:55:00Z,43.0,,0.0
UWASH,2022-11-07T03:55:00Z,43.0,,1.0
UWASH,2022-11-07T04:55:00Z,42.0,,2.0
UWASH,2022-11-07T05:55:00Z,42.0,,1.0
UWASH,2022-11-07T06:55:00Z,41.0,,0.0
