# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: UWASH
# STATION NAME: UNIVERSITY OF WASHINGTON
# LATITUDE: 47.65
# LONGITUDE: -122.31
# ELEVATION [ft]: 190
# STATE: WA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_set_1,sea_level_pressure_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,Millimeters,Pascals,Celsius,Celsius,code,Celsius
UWASH,2023-01-01T12:55:00Z,5.56,100.0,0.0,82.0,0.0,0.0,101900.0,5.56,,E,
UWASH,2023-01-01T13:55:00Z,6.11,100.0,1.03,311.0,1.03,0.0,101950.0,6.11,,NW,
UWASH,2023-01-01T14:55:00Z,6.11,100.0,0.0,352.0,1.03,0.0,101990.0,6.11,,N,
UWASH,2023-01-01T15:55:00Z,6.11,100.0,0.0,90.0,0.51,0.0,101960.0,6.11,,E,
UWASH,2023-01-01T16:55:00Z,6.11,100.0,0.51,313.0,1.03,0.0,102050.0,6.11,,NW,
UWASH,2023-01-01T17:55:00Z,6.67,100.0,0.51,22.0,1.54,0.0,102120.0,6.67,,NNE,
UWASH,2023-01-01T18:55:00Z,7.22,92.64,0.0,59.0,1.03,0.0,102070.0,6.09,,ENE,
UWASH,2023-01-01T19:55:00Z,8.33,85.89,1.54,124.0,2.57,0.0,101960.0,6.08,,SE,
UWASH,2023-01-01T20:55:00Z,8.33,79.52,0.51,94.0,1.03,0.0,101870.0,4.96,,E,
UWASH,2023-01-01T21:55:00Z,8.33,79.52,1.54,299.0,2.06,0.0,101870.0,4.96,,WNW,
UWASH,2023-01-01T22:55:00Z,9.44,73.77,1.03,237.0,1.54,0.0,101890.0,4.94,,WSW,
UWASH,2023-01-01T23:55:00Z,7.78,82.58,0.0,202.0,1.03,0.0,101820.0,4.97,,SSW,
