# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: UWASH
# STATION NAME: UNIVERSITY OF WASHINGTON
# LATITUDE: 47.65
# LONGITUDE: -122.31
# ELEVATION [ft]: 190
# STATE: WA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_set_1
,,Celsius,%,m/s,Degrees,m/s,Millimeters
UWASH,2020-12-01T12:55:00Z,2.78,100.0,1.54,311.0,2.06,0.0
UWASH,2020-12-01T13:55:00Z,3.89,100.0,0.0,344.0,0.0,0.0
UWASH,2020-12-01T14:55:00Z,3.89,96.16,0.51,10.0,1.03,0.0
UWASH,2020-12-01T15:55:00Z,3.33,100.0,1.03,331.0,1.54,0.0
UWASH,2020-12-01T16:55:00Z,5.0,92.52,0.0,46.0,0.0,0.0
UWASH,2020-12-01T17:55:00Z,7.22,76.31,0.51,72.0,1.54,0.0
UWASH,2020-12-01T18:55:00Z,7.78,73.47,1.54,72.0,3.09,0.0
UWASH,2020-12-01T19:55:00Z,8.89,65.5,1.03,96.0,3.09,0.0
UWASH,2020-12-01T20:55:00Z,10.0,60.79,1.03,31.0,3.09,0.0
UWASH,2020-12-01T21:55:00Z,10.0,58.43,2.06,9.0,4.12,0.0
UWASH,2020-12-01T22:55:00Z,8.89,65.5,2.57,341.0,4.63,0.0
UWASH,2020-12-01T23:55:00Z,8.33,65.38,2.06,357.0,3.6,0.0
UWASH,2020-12-02T00:55:00Z,6.11,73.16,1.03,1.0,2.06,0.0
UWASH,2020-12-02T01:55:00Z,5.56,79.11,0.51,353.0,1.54,0.0
UWASH,2020-12-02T02:55:00Z,3.89,85.41,0.0,9.0,0.0,0.0
UWASH,2020-12-02T03:55:00Z,4.44,88.92,0.51,358.0,2.06,0.0
UWASH,2020-12-02T04:55:00Z,4.44,88.92,1.03,331.0,2.06,0.0
UWASH,2020-12-02T05:55:00Z,3.89,92.45,0.51,303.0,1.54,0.0
UWASH,2020-12-02T06:55:00Z,3.33,92.42,0.0,339.0,1.03,0.0
UWASH,2020-12-02T07:55:00Z,2.78,96.13,0.0,2.0,1.03,0.0
UWASH,2020-12-02T08:55:00Z,3.33,92.42,1.54,347.0,3.09,0.0
UWASH,2020-12-02T09:55:00Z,2.22,96.11,0.51,7.0,1.54,0.0
UWASH,2020-12-02T10:55:00Z,3.89,82.08,1.03,7.0,3.09,0.0
UWASH,2020-12-02T11:55:00Z,2.78,85.29,0.51,337.0,1.03,0.0
UWASH,2020-12-02T12:55:00Z,2.22,88.73,0.51,339.0,1.54,0.0
UWASH,2020-12-02T13:55:00Z,2.22,85.23,0.0,329.0,1.03,0.0
UWASH,2020-12-02T14:55:00Z,1.67,88.68,0.51,350.0,1.03,0.0
UWASH,2020-12-02T15:55:00Z,1.11,92.29,0.51,294.0,1.54,0.0
UWASH,2020-12-02T16:55:00Z,3.89,78.85,0.0,338.0,0.51,0.0
UWASH,2020-12-02T17:55:00Z,10.0,60.79,0.0,260.0,0.0,0.0
UWASH,2020-12-02T18:55:00Z,10.56,52.0,0.51,158.0,1.03,0.0
UWASH,2020-12-02T19:55:00Z,12.78,46.72,0.51,279.0,1.03,0.0
UWASH,2020-12-02T20:55:00Z,15.0,45.53,0.51,169.0,1.54,0.0
UWASH,2020-12-02T21:55:00Z,16.11,34.77,0.51,314.0,1.03,0.0
UWASH,2020-12-02T22:55:00Z,16.67,39.35,0.0,245.0,0.0,0.0
UWASH,2020-12-02T23:55:00Z,11.11,52.15,0.0,256.0,0.51,0.0
UWASH,2020-12-03T00:55:00Z,7.22,70.52,0.0,265.0,1.03,0.0
UWASH,2020-12-03T01:55:00Z,5.56,76.03,1.03,29.0,1.54,0.0
UWASH,2020-12-03T02:55:00Z,5.0,75.94,0.0,237.0,0.51,0.0
UWASH,2020-12-03T03:55:00Z,3.89,82.08,0.0,240.0,0.51,0.0
UWASH,2020-12-03T04:55:00Z,3.33,85.35,1.03,27.0,1.03,0.0
UWASH,2020-12-03T05:55:00Z,2.78,85.29,0.0,262.0,0.51,0.0
UWASH,2020-12-03T06:55:00Z,2.22,88.73,0.0,160.0,0.51,0.0
UWASH,2020-12-03T07:55:00Z,1.67,92.32,0.0,257.0,1.03,0.0
UWASH,2020-12-03T08:55:00Z,1.67,92.32,0.51,39.0,1.03,0.0
UWASH,2020-12-03T09:55:00Z,1.11,96.07,0.0,267.0,1.03,0.0
UWASH,2020-12-03T10:55:00Z,1.11,96.07,0.51,29.0,1.03,0.0
UWASH,2020-12-03T11:55:00Z,1.11,100.0,0.0,83.0,0.0,0.0
UWASH,2020-12-03T12:55:00Z,1.67,96.09,0.51,26.0,1.03,0.0
UWASH,2020-12-03T13:55:00Z,1.67,96.09,0.51,3.0,1.54,0.0
UWASH,2020-12-03T14:55:00Z,1.11,100.0,0.51,53.0,1.03,0.0
UWASH,2020-12-03T15:55:00Z,2.22,96.11,0.0,90.0,1.03,0.0
UWASH,2020-12-03T16:55:00Z,4.44,88.92,0.51,70.0,1.03,0.0
UWASH,2020-12-03T17:55:00Z,7.22,79.35,0.0,88.0,0.51,0.0
UWASH,2020-12-03T18:55:00Z,7.78,79.44,0.51,137.0,1.54,0.0
UWASH,2020-12-03T19:55:00Z,8.33,70.74,1.03,127.0,2.06,0.0
UWASH,2020-12-03T20:55:00Z,8.89,68.13,0.51,120.0,1.03,0.0
UWASH,2020-12-03T21:55:00Z,10.0,63.23,0.0,231.0,1.03,0.0
UWASH,2020-12-03T22:55:00Z,10.0,63.23,0.51,273.0,1.54,0.0
UWASH,2020-12-03T23:55:00Z,8.89,65.5,0.51,99.0,1.54,0.0
UWASH,2020-12-04T00:55:00Z,8.33,70.74,0.0,90.0,0.0,0.0
UWASH,2020-12-04T01:55:00Z,7.78,76.4,1.54,115.0,2.06,0.0
UWASH,2020-12-04T02:55:00Z,8.33,73.57,0.0,78.0,0.51,0.0
UWASH,2020-12-04T03:55:00Z,7.22,79.35,0.0,82.0,1.03,0.0
UWASH,2020-12-04T04:55:00Z,7.22,79.35,0.0,99.0,0.0,0.0
UWASH,2020-12-04T05:55:00Z,6.11,85.65,1.03,36.0,1.54,0.0
UWASH,2020-12-04T06:55:00Z,6.11,85.65,0.0,88.0,0.51,0.0
UWASH,2020-12-04T07:55:00Z,6.67,85.71,0.0,84.0,0.0,0.0
UWASH,2020-12-04T08:55:00Z,7.22,85.77,0.0,62.0,0.51,0.0
UWASH,2020-12-04T09:55:00Z,7.22,85.77,0.0,85.0,0.0,0.0
UWASH,2020-12-04T10:55:00Z,6.67,89.1,0.0,266.0,0.0,0.0
UWASH,2020-12-04T11:55:00Z,6.11,89.06,0.51,55.0,1.03,0.0
UWASH,2020-12-04T12:55:00Z,5.0,88.97,1.03,21.0,1.54,0.0
UWASH,2020-12-04T13:55:00Z,3.33,96.14,0.0,250.0,1.03,0.0
UWASH,2020-12-04T14:55:00Z,2.78,96.13,0.0,86.0,1.03,0.0
UWASH,2020-12-04T15:55:00Z,2.78,100.0,0.0,50.0,1.03,0.0
UWASH,2020-12-04T16:55:00Z,5.0,88.97,0.0,63.0,0.0,0.0
UWASH,2020-12-04T17:55:00Z,8.89,73.67,0.51,165.0,1.03,0.0
UWASH,2020-12-04T18:55:00Z,9.44,73.77,1.03,141.0,1.54,0.0
UWASH,2020-12-04T19:55:00Z,10.56,71.18,0.51,157.0,1.54,0.0
UWASH,2020-12-04T20:55:00Z,12.78,54.7,0.51,144.0,1.54,0.0
UWASH,2020-12-04T21:55:00Z,13.89,50.88,0.51,158.0,1.54,0.0
UWASH,2020-12-04T22:55:00Z,13.89,52.9,0.0,76.0,0.51,0.0
UWASH,2020-12-04T23:55:00Z,11.67,61.19,1.54,303.0,2.06,0.0
UWASH,2020-12-05T00:55:00Z,7.78,76.4,0.0,266.0,1.03,0.0
UWASH,2020-12-05T01:55:00Z,7.22,76.31,0.51,325.0,1.54,0.0
UWASH,2020-12-05T02:55:00Z,5.0,88.97,0.51,332.0,1.03,0.0
UWASH,2020-12-05T03:55:00Z,3.89,92.45,0.0,265.0,0.0,0.0
