# The provisional data available here are intended for diverse user applications.,,,,,,,,,,,,
# For data required for a court of law or regulatory purposes, review the information ,,,,,,,,,,,
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data),,,,,,,,,,,,
# or consult a CCM (http://www.nicm.org).,,,,,,,,,,,,
# STATION: UWASH,,,,,,,,,,,,
# STATION NAME: UNIVERSITY OF WASHINGTON,,,,,,,,,,,,
# LATITUDE: 47.65,,,,,,,,,,,,
# LONGITUDE: -122.31,,,,,,,,,,,,
# ELEVATION [ft]: 190,,,,,,,,,,,,
# STATE: WA,,,,,,,,,,,,
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_set_1,sea_level_pressure_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,Millimeters,Pascals,Celsius,Celsius,code,Celsius
UWASH,2022-06-01T12:55:00Z,12.22,85.00,2.06,228.00,3.09,,101600.00,9.75,,SW,
UWASH,2022-06-01T13:55:00Z,13.89,81.00,1.03,336.00,4.12,,101610.00,10.65,,NNW,
UWASH,2022-06-01T14:55:00Z,15.00,77.00,1.54,98.00,3.09,,101590.00,10.97,,E,
UWASH,2022-06-01T15:55:00Z,16.11,71.00,1.54,37.00,3.09,,101570.00,10.81,,NE,
UWASH,2022-06-01T16:55:00Z,16.67,71.00,3.09,200.00,4.63,,101550.00,11.35,,SSW,
UWASH,2022-06-01T17:55:00Z,17.78,65.00,3.09,318.00,5.14,,101520.00,11.07,,NW,
UWASH,2022-06-01T18:55:00Z,18.33,59.00,4.12,266.00,5.66,,101520.00,10.13,,W,
UWASH,2022-06-01T19:55:00Z,20.00,53.00,3.60,268.00,4.63,,101470.00,10.08,,W,
UWASH,2022-06-01T20:55:00Z,20.56,52.00,4.63,207.00,6.69,,101420.00,10.32,,SSW,
UWASH,2022-06-01T21:55:00Z,21.11,49.00,4.12,224.00,5.14,,101420.00,9.93,,SW,
UWASH,2022-06-01T22:55:00Z,20.56,51.00,4.12,68.00,5.66,,101430.00,10.03,,ENE,
UWASH,2022-06-01T23:55:00Z,21.11,52.00,2.57,155.00,3.60,,101410.00,10.83,,SSE,
UWASH,2022-06-02T00:55:00Z,20.56,58.00,3.60,335.00,6.17,,101400.00,11.97,,NNW,
UWASH,2022-06-02T01:55:00Z,18.33,68.00,5.66,307.00,7.72,,101430.00,12.28,,NW,
UWASH,2022-06-02T02:55:00Z,17.22,66.00,5.14,336.00,7.72,,101400.00,10.77,,NNW,
UWASH,2022-06-02T03:55:00Z,17.22,71.00,4.12,344.00,6.17,,101420.00,11.88,,NNW,
UWASH,2022-06-02T04:55:00Z,16.11,79.00,2.06,360.00,4.12,,101430.00,12.44,,N,
UWASH,2022-06-02T05:55:00Z,15.56,83.00,2.06,317.00,3.60,,101400.00,12.66,,NW,
UWASH,2022-06-02T06:55:00Z,15.56,84.00,2.06,336.00,3.60,,101400.00,12.84,,NNW,
UWASH,2022-06-02T07:55:00Z,15.00,85.00,1.03,30.00,2.06,,101390.00,12.48,,NNE,
UWASH,2022-06-02T08:55:00Z,14.44,85.00,2.57,227.00,3.09,,101360.00,11.93,,SW,
UWASH,2022-06-02T09:55:00Z,13.89,89.00,2.06,218.00,2.57,,101360.00,12.09,,SW,
UWASH,2022-06-02T10:55:00Z,13.89,90.00,1.54,245.00,2.57,,101330.00,12.26,,WSW,
UWASH,2022-06-02T11:55:00Z,13.33,90.00,2.06,274.00,3.09,,101290.00,11.71,,W,
UWASH,2022-06-02T12:55:00Z,13.89,88.00,2.57,296.00,3.60,,101280.00,11.92,,WNW,
UWASH,2022-06-02T13:55:00Z,15.00,86.00,2.06,345.00,3.60,,101260.00,12.66,,NNW,
UWASH,2022-06-02T14:55:00Z,14.44,91.00,2.57,344.00,4.12,,101240.00,12.98,,NNW,
UWASH,2022-06-02T15:55:00Z,16.11,85.00,1.54,33.00,4.63,,101210.00,13.57,,NNE,
UWASH,2022-06-02T16:55:00Z,15.56,84.00,4.12,99.00,5.14,,101140.00,12.84,,E,
UWASH,2022-06-02T17:55:00Z,18.33,74.00,3.09,216.00,4.12,,101090.00,13.58,,SW,
UWASH,2022-06-02T18:55:00Z,18.89,68.00,4.12,203.00,5.66,,101020.00,12.82,,SSW,
UWASH,2022-06-02T19:55:00Z,21.11,60.00,4.63,211.00,7.20,,100960.00,13.01,,SSW,
UWASH,2022-06-02T20:55:00Z,22.78,52.00,3.60,255.00,5.66,,100910.00,12.38,,WSW,
UWASH,2022-06-02T21:55:00Z,21.11,59.00,3.09,267.00,6.17,,100860.00,12.75,,W,
UWASH,2022-06-02T22:55:00Z,21.11,62.00,1.54,157.00,4.12,,100850.00,13.51,,SSE,
UWASH,2022-06-02T23:55:00Z,20.00,71.00,3.09,32.00,4.63,,100860.00,14.55,,NNE,
UWASH,2022-06-03T00:55:00Z,20.00,76.00,2.06,346.00,3.09,,100840.00,15.62,,NNW,
UWASH,2022-06-03T01:55:00Z,18.33,85.00,3.60,71.00,5.14,,100850.00,15.75,,ENE,
UWASH,2022-06-03T02:55:00Z,18.33,85.00,3.09,84.00,4.63,,100790.00,15.75,,E,
UWASH,2022-06-03T03:55:00Z,18.33,84.00,3.09,341.00,4.63,,100770.00,15.56,,NNW,
UWASH,2022-06-03T04:55:00Z,17.22,91.00,2.06,259.00,3.09,,100770.00,15.73,,W,
UWASH,2022-06-03T05:55:00Z,17.22,90.00,2.06,245.00,3.60,,100730.00,15.55,,WSW,
UWASH,2022-06-03T06:55:00Z,16.67,92.00,2.06,104.00,3.09,,100710.00,15.35,,ESE,
UWASH,2022-06-03T07:55:00Z,16.67,93.00,2.06,98.00,3.09,,100690.00,15.52,,E,
UWASH,2022-06-03T08:55:00Z,16.11,93.00,2.06,116.00,3.60,,100660.00,14.97,,ESE,
UWASH,2022-06-03T09:55:00Z,16.11,85.00,3.09,179.00,5.14,,100670.00,13.57,,S,
UWASH,2022-06-03T10:55:00Z,15.00,86.00,4.12,132.00,5.66,,100640.00,12.66,,SE,
UWASH,2022-06-03T11:55:00Z,14.44,84.00,3.09,214.00,4.12,,100630.00,11.75,,SW,
UWASH,2022-06-03T12:55:00Z,13.89,80.00,7.72,204.00,9.77,,100670.00,10.47,,SSW,
UWASH,2022-06-03T13:55:00Z,12.78,91.00,2.57,62.00,4.63,,100660.00,11.33,,ENE,
UWASH,2022-06-03T14:55:00Z,12.78,92.00,3.09,114.00,4.63,,100670.00,11.50,,ESE,
UWASH,2022-06-03T15:55:00Z,13.89,86.00,4.63,208.00,7.20,,100710.00,11.56,,SSW,
UWASH,2022-06-03T16:55:00Z,13.89,84.00,3.09,219.00,4.63,,100700.00,11.21,,SW,
UWASH,2022-06-03T17:55:00Z,15.00,82.00,2.06,166.00,4.63,,100720.00,11.93,,SSE,
UWASH,2022-06-03T18:55:00Z,16.11,77.00,5.66,164.00,8.23,,100720.00,12.04,,SSE,
UWASH,2022-06-03T19:55:00Z,15.56,84.00,5.14,163.00,7.20,,100780.00,12.84,,SSE,
UWASH,2022-06-03T20:55:00Z,13.89,85.00,6.69,210.00,10.29,,100820.00,11.39,,SSW,
UWASH,2022-06-03T21:55:00Z,15.56,77.00,6.17,186.00,9.26,,100810.00,11.51,,S,
UWASH,2022-06-03T22:55:00Z,17.22,64.00,4.63,190.00,7.20,,100840.00,10.30,,S,
