Timestamp,outdoor_air_temp_C,outdoor_relative_humidity_%,outdoor_wind_speed_mpers,outdoor_wind_direction_deg,Outdoor_wind_gust_mpers,precip_accum_mm,sea_level_pressure_pascals,dew_point_temperature_C,outdoor_wind_chill_C,wind_cardinal_direction
2023-01-01 12:55:00+00:00,5.56,100.0,0.0,82.0,0.0,0.0,101900.0,5.56,,E
2023-01-01 13:55:00+00:00,6.11,100.0,1.03,311.0,1.03,0.0,101950.0,6.11,,NW
2023-01-01 14:55:00+00:00,6.11,100.0,0.0,352.0,1.03,0.0,101990.0,6.11,,N
2023-01-01 15:55:00+00:00,6.11,100.0,0.0,90.0,0.51,0.0,101960.0,6.11,,E
2023-01-01 16:55:00+00:00,6.11,100.0,0.51,313.0,1.03,0.0,102050.0,6.11,,NW
2023-01-01 17:55:00+00:00,6.67,100.0,0.51,22.0,1.54,0.0,102120.0,6.67,,NNE
2023-01-01 18:55:00+00:00,7.22,92.64,0.0,59.0,1.03,0.0,102070.0,6.09,,ENE
2023-01-01 19:55:00+00:00,8.33,85.89,1.54,124.0,2.57,0.0,101960.0,6.08,,SE
2023-01-01 20:55:00+00:00,8.33,79.52,0.51,94.0,1.03,0.0,101870.0,4.96,,E
2023-01-01 21:55:00+00:00,8.33,79.52,1.54,299.0,2.06,0.0,101870.0,4.96,,WNW
2023-01-01 22:55:00+00:00,9.44,73.77,1.03,237.0,1.54,0.0,101890.0,4.94,,WSW
2023-01-01 23:55:00+00:00,7.78,82.58,0.0,202.0,1.03,0.0,101820.0,4.97,,SSW
2023-01-02 00:55:00+00:00,5.56,92.55,1.03,301.0,1.54,0.0,101750.0,4.43,,WNW
2023-01-02 01:55:00+00:00,5.0,92.52,0.0,83.0,0.0,0.0,101690.0,3.87,,E
2023-01-02 02:55:00+00:00,3.33,96.14,0.51,30.0,1.03,0.0,101670.0,2.77,,NNE
2023-01-02 03:55:00+00:00,2.78,96.13,0.0,61.0,1.03,0.0,101620.0,2.22,,ENE
2023-01-02 04:55:00+00:00,2.78,100.0,0.0,85.0,0.0,0.0,101540.0,2.78,,E
2023-01-02 05:55:00+00:00,2.78,100.0,0.51,24.0,1.03,0.0,101500.0,2.78,,NNE
2023-01-02 06:55:00+00:00,3.33,100.0,0.0,57.0,0.51,0.0,101470.0,3.33,,ENE
2023-01-02 07:55:00+00:00,3.89,100.0,1.03,83.0,1.54,0.0,101410.0,3.89,,E
2023-01-02 08:55:00+00:00,3.33,100.0,1.03,53.0,1.54,0.0,101290.0,3.33,,NE
2023-01-02 09:55:00+00:00,2.22,100.0,1.03,357.0,1.03,0.0,101170.0,2.22,,N
2023-01-02 10:55:00+00:00,1.11,100.0,0.0,56.0,0.0,0.0,101040.0,1.11,,NE
2023-01-02 11:55:00+00:00,0.56,100.0,0.51,323.0,1.54,0.0,100960.0,0.56,,NW
2023-01-02 12:55:00+00:00,0.56,100.0,0.0,275.0,1.03,0.0,100960.0,0.56,,W
2023-01-02 13:55:00+00:00,0.56,100.0,0.51,36.0,1.54,0.0,100930.0,0.56,,NE
2023-01-02 14:55:00+00:00,0.56,100.0,1.03,44.0,1.54,0.0,100820.0,0.56,,NE
2023-01-02 15:55:00+00:00,0.56,100.0,0.51,269.0,1.03,0.0,100740.0,0.56,,W
2023-01-02 16:55:00+00:00,0.56,100.0,0.0,299.0,0.0,0.0,100700.0,0.56,,WNW
